HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"YearBuilt",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
13,,Montgomery Memorial Park,630-010-21,3020,Coronado Avenue ,San Diego,92154,Otay Mesa-Nestor,Otay Mesa West,11/6/70,A,CHL #711,,1883,,,,
14,14 A-I,Old Town San Diego Historic State Park,"442-610-16: 442-462-06: 442-610-13",Various,"Bounded by Wallace Street, Juan Street, Congress Street and Twiggs Street.",San Diego,92103,Old San Diego,Old Town,11/6/70,"A, B, C, F","NR 1971-09-03CHL #830",,"Mexican Period (1821-1946)American Period (1846-1869)",,,,
14,14-A,Casa de Estudillo,442-610-16,4000,Mason Street,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, B, C, F",NR 1970-04-15; NHL H.A.B.S. CAL#45,Adobe,1828,"Jose Antonio Estudillo, builder.",Jose Antonio Estudillo,,
14,14-C,Casa de Bandini,442-610-16,2660,Calhoun Street,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, B, C, F",H.A.B.S.; CAL#46; CHL#72,Mexican Adobe,1829,"Juan Bandini, builder",Juan Bandini,,
14,14-D,Casa de Pedrorena,442-610-16,2616,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, B, C, F",CHL#538,American Adobe,1869,"Miquel de Pedroena, Jr., builder","Miquel de Pedroena, Jr.",,
14,14-G,Casa de Machado-Stewart,442-610-16,2724,Congress Street,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, B, C, F",CHL#73,Adobe,1830,"Juan Manuel Machado, builder",Juan Manuel Machado; John C. Stewart,,
14,14-E,Casa de Machado-Silvas (de la Bandera),442-610-16,2741,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, C, F",H.A.B.S.: #411             CHL#71,Adobe,1835,"Jose Manual Machado, builder",,,
14,14-H,Mason Street School- first school,442-610-16,3966,Mason Street,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, C, F",CHL#538,American one room wood frame,1865,,,,
14,14-F,Congress Hall Site,442-610-16,,SW Corner of Calhoun Street and Wallace Street,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, D, F",,Western style false front,C. 1860,"Burkhart and Davis, architects",,,
14,14-B,Casa de Cota Site,442-610-16,,NW Corner of Twiggs Street and Congress Street.,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, F",CHL#75,Adobe,C. 1830,"Juan Costa, builder",,,
14,14-I,The Exchange Hotel Site,442-610-16,,,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, F",CHL#491,Early American brick and frame,C. 1850,,,,
15,,Chapel of the Immaculate Conception,443-513-20,3965,Conde Street,San Diego,92103,Old San Diego,Old Town,11/6/70,"A, C, F",CHL#49,Adobe,1850,,,,
16,,Whaling Station Site,532-520-11,,"Base of Ballast Point, S end of Rosecrans St, where historic markers are on a half circle, U.S. Naval Submarine Base, San Diego",San Diego,92106,Peninsula,Wooded Area,11/6/70,,CHL#50,,,,,,
17,,Lighthouse of 1854,532-520-05,,Cabrillo National Monument,San Diego,92106,Peninsula,Wooded Area,11/6/70,,"H.A.B.S. 1963    CHL #51     NR 1966-10-15",,,,,,
18,,Gill House,452-014-23,3776,Front Street,San Diego,92103,Uptown,Hillcrest,7/2/71,,,,1905,,,,
19,,Fort Rosecrans National Cemetery,532-520-09,,Cabrillo Memorial Drive,San Diego,92106,Peninsula,Wooded Area,11/6/70,,CHL#55,,,,,,
20,,Ballast Point,532-520-01,,,San Diego,92106,Peninsula,Wooded Area,11/6/70,,CHL#56,,,,,,
21,,Casa de Lopez,442-570-69,3890,Twiggs Street,San Diego,92103,Old San Diego,Old Town,11/6/70,,CHL#60 H.A.B.S. #47,,1835,,,,
22,,Old La Playa Site,532-520-11,,,San Diego,92106,Peninsula,Wooded Area,11/6/70,,CHL#61,,,,,,
23,,Fort Rosecrans Site,532-520-11,,"Base of Ballast Point, S end of Rosecrans St, where historic markers are on a half circle, U.S. Naval Submarine Base, San Diego ",San Diego,92106,Peninsula,Wooded Area,11/6/70,,CHL#62,,,,,,
24,,Whaley House,443-511-28,2482,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,11/6/70,,CHL#65      H.A.B.S.,,1856,,,,
25,,Serra Palm Site,442-520-07,,Taylor Street,San Diego,92103,Old San Diego,Old Town,11/6/70,,CHL# 67     NR#?,,,,,,
26,,Old Spanish Cemetery,443-513-24,2398,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,11/6/70,,CHL# 68,,1840,,,,
27,,Fort Guijarros,532-520-11,,"Base of Ballast Point, S end of Rosecrans St, where historic markers are on a half circle, U.S. Naval Submarine Base, San Diego ",San Diego,92106,Peninsula,Wooded Area,11/6/70,,CHL# 69,,1797,,,,
28,,Derby Dike Site,,,Southeast corner of Taylor Street and Presidio Drive,San Diego,92103,Old San Diego,Old Town,11/6/70,,CHL#244,,1851,Architect Lt. George Derby,,,
29,,Mule Hill Site,272-131-04,,Pomerado Road,San Diego,92025,San Pasqual,San Pasqual,11/6/70, ,CHL#452,,,,,,
30,,San Diego Barracks Site,,600 Block,Kettner Boulevard,San Diego,92101,Centre City,Marina,11/6/70,,CHL#523,,,,,,
31,,Kate O. Sessions Nursery Site,417-241-03,,Pico Street and Balboa Avenue,San Diego,92109,Pacific Beach,Pacific Beach,11/6/70,,CHL#764,,,,,,
32,,Derby-Pendleton House,443-511-28,2482,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,11/6/70,,H.A.B.S. #430,,1851,,,,
33,,Spanish Landing Site,,,North Harbor Drive,San Diego,92140,Reserve,Midway District,11/6/70, ,CHL#64,,,,,,
34,,Gatewood House,442-610-23,2515,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,11/6/70,,,,1873,,,,
35,,Presidio Excavation Site,"442-520-07:442-520-08",,,San Diego,92103,Old San Diego,Old Town,11/6/70,,CHL #59:  NHL 1964,,,,,,
36,,Emmet House Site,442-570-69,3890,Twiggs Street,San Diego,92103,Old San Diego,Old Town,11/6/70,,,,1860's,,,,
37,,Long-Waterman House,"533-083-06; 533-083-07",2408 & 2010,First Avenue,San Diego,92101,Uptown,Middletown,12/4/70,,NR 1976-06-14: HABS 1975,,1889,"D. P Benson, architect",,,
38,,Timken House,533-082-12,2508,First Avenue,San Diego,92101,Uptown,Middletown,12/4/70,,,,1887-88,,,,
39,,Quartermass Wilde House,534-272-19,2404,East Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/4/70,,HRB#130-035,,1896,,,,
40,,George Marston House,452-430-31,3525,Seventh Avenue,San Diego,92103,Uptown,Hillcrest,12/4/70,,NR 1974-12-16:  H.A.B.S.: CHL 1960,,1904,Hebbard and Gill,,,
41,,Frederick R. Burnham House,452-430-30,3563,Seventh Avenue,San Diego,92103,Uptown,Hillcrest,12/4/70,,NR 1986-22-09: H.A.B.S.,,1907,Hebbard and Gill,,,
42,,Casa de Aguirre Site,442-610-12,2604,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,12/4/70,,,,1850's,,,,
43,,Gila House Site Block 483,"443-721-18 - 443-721-25 &443-721-75",3940,Harney Street,San Diego,92103,Old San Diego,Old Town,12/4/70,,,,1850,,,,
44,,Franciscan Gardens Site Block 413,4425200700,,Taylor Street,San Diego,92103,Old San Diego,Old Town,12/4/70,,,,1769,,,,
45,,San Pasqual Grave Site Block 450,,,"Under Interstate 5. Bounded by Old Town Ave, Moore Street, Hortensia Street and Hancock Street",San Diego,92103,Old San Diego,Old Town,12/4/70,,,,,,,,
46,,Cobblestone Jail Site,"443-513-30 - 443-513-32",2360,San Diego Avenue,San Diego,92103,Old San Diego,Old Town,12/4/70,,,,1851,,,,
47,,Protestant Cemetery Site,,,"Under Interstate 5. Bounded by Ampudia Avenue, Moore Street, Old Town Avenue and Hancock Street.",San Diego,92103,Old San Diego,Old Town,12/4/70,,,,,,,,
48,,Hebrew Cemetery Site,441-290-28-18,,Kenyon Street,San Diego,,Midway Pacific Highway,Midway,12/4/70,,,,,,,,
49,,(Melville) Klauber House,452-624-09,3060,Sixth Avenue,San Diego,92103,Uptown,Middletown,1/22/71,,NR 1974-11-13: CHL 1974-11-07  ,,1909,"Hebbard and Gill, architects",,,
50,,Designation Overturned,,,,,,,,,,,,,,,,
51,,Horton Plaza and Fountain,533-610-21,300 Block,Broadway,San Diego,92101,Centre City,Horton Plaza,3/19/71,,,,1909,"Irving Gill, architect",,,
52,,Britt/Scripps House,"452-715-04:452-715-05",406,Maple Street,San Diego,92103,Uptown,Middletown,10/1/71,,,,1887-88,,,,
53,,Florence Hotel Tree,533-291-01,300 Block,Grape Street,San Diego,92101,Uptown,Middletown,12/3/71,,,,1895,,,,
54,,Brooklyn Hotel (Kahles Saddlery) (Horton Grand Hotel),535-086-19,325,Island Avenue,San Diego,92101,Centre City,Gaslamp,1/7/72,,,,1887,,,,
55,,Jennings House,531-380-07,1018,Rosecrans Street,San Diego,92106,Peninsula,Roseville/ Fleet Ridge,1/7/72,,,,1886,,,,
56,,Santa Fe Depot,533-472-05,1050,Kettner Boulevard,San Diego,92101,Centre City,Columbia,2/4/72,,NR 1972-06-26:  CHB-1965: H.A.B.S.:  Summer 1971,,1915,"Bakewell and Brown, architects",,,
57,,H.E. Watts House,533-272-01,1767,Second Avenue,San Diego,92101,Uptown,Middletown,5/4/72,,,,1896,,,,
58,,Livingston House Site,535-471-19,2412,J Street,San Diego,92102,,,3/3/72,,,,1887,,,,
59,,Litgow-Hackett Torrey Pine,533-364-08,1534,First Avenue,San Diego,92101,Centre City,Cortez,3/3/72,,,,1887,,,,
60,,Ford Building,534-450-08,2001,Pan American Plaza,San Diego,92101,Balboa Park,Balboa Park,4/7/72,,NR 1973-04-26:    NHL,Streamline Moderne,1935,"Walter Dorwin Teague, architect",,,
61,,Designation Overturned,,,,,,,,,,,,,,,,
62,,Lee House No. 2,452-537-18,3353,Albatross Street,San Diego,92103,Uptown,Middletown,5/10/72,,,,1905,"Hebbard and Gill, architects",,,
63,,Lee House No. 4,452-537-19,3367,Albatross Street,San Diego,92103,Uptown,Middletown,5/10/72,,,,1913,"Irving Gill, architect",,,
64,,Teats House No. 2,452-537-11,3415,Albatross Street,San Diego,92103,Uptown,Middletown,5/10/72,,,,1912,"Irving Gill, architect",,,
65,,Teats House No. 3,452-537-10,3407,Albatross Street,San Diego,92103,Uptown,Middletown,5/10/72,,,,1922,"Irving Gill, architect",,,
66,127-037,Backesto Block,535-095-06,614,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,6/2/72,,H.A.B.S.    (CA 1-427),,1884,,,,
67,,Hubbell Building,533-575-04,813,Fifth Avenue,San Diego,92101,Centre City,Core,6/2/72,,,,1886,,,,
68,,Marston Building,533-595-05,809,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,6/2/72,,,,1881,,,,
69,,McGurck Block,535-094-07,611,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,6/2/72,,H.A.B.S. #428,,1887,,,,
70,,I.O.O.F. Building,535-094-08,526-546,Market Street,San Diego,92101,Centre City,Gaslamp,6/2/72,,H.A.B.S. #429            NR 01/31/78,,1882,"Levi Goodrich, architect",,,
71,,Keating Building,533-576-06,432,F Street,San Diego,92101,Centre City,Gaslamp,6/2/72,,,,1890,"Reid Brothers Construction, builder",,,
72,127-057,Nesmith-Greely Building,533-575-03,825-831,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,6/2/72,,,Romanesque Revival,1888,"Comstock and Trosche, architects",,,
73,127-059,Louis Bank of Commerce,533-575-02,835-845,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,6/2/72,,,,1887,"Clement and Stannard, architects",,,
74,127-039,Yuma Building,535-094-16,631-633,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,6/2/72,,,,1882,,,,
75,,Johnson-Taylor Adobe of Rancho de los Penasquitos,315-031-01,,Black Mountain Road,San Diego,92125,Los Penasquitos Canyon: Mira Mesa ,Los Penasquitos: Mira Mesa,8/4/72,,"NR 1980-10-31:HABS CA #2072-2072A08/75 part of Hist. Interest SDI-010",,1824,,,,
76,,Spreckels Theater,533-610-14,121,Broadway,San Diego,92101,Centre City,Columbia,8/4/72,,"NR 1975-05-28:HABS: CA-1966",,1912,Harrison Albright,,,
77,,Balboa Theater,533-610-03,868,Fourth Avenue,San Diego,92101,Centre City,Horton Plaza,8/4/72,,NR 1996-10-24,,1924,"William Wheeler, architect",,,
78,,Weldon Glasson House (Chateau de Toman),545-522-04,3139,Franklin Avenue,San Diego,92113,Southeastern San Diego,Logan Heights,11/3/72,,,,1880,,,,
79,,La Jolla Women's Club,350-312-01,715,Silverado Street,San Diego,92037,La Jolla,La Jolla,3/2/73,,"CHL 01/11/74NR 1974-11-05CA1-1966 06/71",,1913-14,"Irving Gill, architect",,,
80,,Adobe Falls,462-230-16,,,San Diego,92120,Navajo,Del Cerro,4/6/73,,,,,,,,
81,,Piedras Pintados,272-110-41,,Extreme northwest corner Rancho Bernardo,San Diego,92128,Rancho Bernardo,Rancho Bernardo,4/6/73,,,,,,,,
82,,Temple Beth Israel,443-340-34,,Heritage Park Row,San Diego,92103,Old San Diego,Old Town,6/1/73,,NR 05/22/78,,1889,,,,
83,,San Diego Steam Laundry,533-482-02,1155,Columbia Street,San Diego,92101,Centre City,Columbia,6/1/73,,,,1920s,,,,
84,,Green Dragon Colony Site -Partially Demolished,350-050-17,1258-1274,Prospect Street,San Diego,92037,La Jolla,La Jolla,7/6/73,,,,1904-12,,,,
85,,Hayward-Patterson House,534-266-13,2148,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,9/7/73,,,,1887,A.M. Hayward,,,
86,,La Jolla Recreational Center,350-311-02,615,Prospect Street,San Diego,92037,La Jolla,La Jolla,9/7/73,,,,1914-15,"Irving Gill, architect",,,
87,,El Cuervo Adobe,310-051-06,,Sorrento Valley Boulevard,San Diego,92121,Los Penasquitos Canyon,Sorrento Valley,10/5/73,,NR 01/22/82,,1824,,,,
88,,First National Bank ,533-573-05,432,E Street,San Diego,92101,Centre City,Gaslamp,10/5/73,,,,1884,A.W. Delane,,,
89,,Plunge,423-680-12,3000,Mission Boulevard,San Diego,92109,Mission Beach,Mission Beach,12/7/73,,,,1925,Lincoln Rogers & Frank Stevenson,,,
90,,Roller Coaster,423-680-12,3000,Mission Boulevard,San Diego,92109,Mission Beach,Mission Beach,12/7/73,,NR 1978-12-27: NHL 1990,,1925,,,,
91,,Merry-go-round,423-680-12,3000,Mission Boulevard,San Diego,92109,Mission Beach,Mission Beach,12/7/73,,,,1912,,,,
92,,Spencer Ogden Building,535-092-11,750,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,3/1/74,,,,1874,William Lacy,,,
93,,Llewelyn Building,535-092-07,722-728,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,4/5/74,,,,1887,,,,
94,,Judge Torrance House,533-182-07,136,Juniper Street,San Diego,92103,Uptown,Middletown,4/5/74,,,,1887,"John Stannard, architect",,,
95,,Grand-Horton Hotel,535-086-19,319,Island Avenue,San Diego,92101,Centre City,Gaslamp,4/5/74,,"NR 1980-06-20:HABS 07/1975",,1886,"Comstock and Trotsche, architects",,,
96,,Golden West Hotel,533-610-04,720,Fourth Avenue,San Diego,92101,Centre City,Gaslamp,9/6/74,,,,1913,"John Lloyd Wright, Master Architect",,,
97,,Mary Cassitt House (No. 4),452-430-22,3526,Seventh Avenue,San Diego,92103,Uptown,Hillcrest,10/4/74,,,,1906,"Irving Gill, architect",,,
98,,Teats House (No. 1),452-430-26,3560,Seventh Avenue,San Diego,92103,Uptown,Hillcrest,10/4/74,,,,1905,"Irving Gill, architect",,,
99,,Alice Lee Residence,452-430-15,3578,Seventh Avenue,San Diego,92103,Uptown,Hillcrest,10/4/74,,,,1905,"Irving Gill, architect",,,
100,,"House  Lot D, Block 234 Horton Addition",533-252-04,1929,Front Street,San Diego,92101,Uptown,Middletown,11/1/74,,,,1880,,,,
101,,Red Roost and Red Rest,"350-050-03350-050-02",1187 & 1179,Coast Boulevard,San Diego,92037,La Jolla,La Jolla,1/3/75,,NR 1976-03-15,,1894,,,,
102,,Tyrolean Terrace Colony,350-050-24,1290-1298,Prospect Street,San Diego,92037,La Jolla,La Jolla,2/7/75,,,,1911,,,,
103,,Cole Block,535-095-05,660,Fifth Avenue,San Diego,92101,Centre City,Gaslamp,5/2/75,,,,1892,John B. Stannard,,,
104,,Sherman-Doig House,533-252-05,136,West Fir Street,San Diego,92101,Centre City,Little Italy,7/11/75,,,,1887,,,,
105,,San Diego Rowing Club,760-017-03,525,East Harbor Drive,San Diego,92101,Centre City,Marina,7/11/75,,NR 1979-08-30,,1899-1900,,,,
106,,Waldo Waterman Monument,,,Maple and Albatross Streets,San Diego,92103,Uptown,Middletown,8/1/75,,,,1959 Date of Monument,,,,
107,,Cliff Mansion,530-010-17,1203,Sunset Cliffs Boulevard,San Diego,92107,Peninsula,Sunset Cliffs,12/5/75,,,,1926,William Barber,,,
108,,Pottery Canyon Park,346-540-43,2725,Torrey Pines Road,San Diego,92037,La Jolla,La Jolla,2/6/76,,,,1928,,,,
109,,Buckner Hotel,535-132-01,765,Tenth Avenue,San Diego,92101,Centre City,East Village,4/2/76,,,,1906,,,,
110,,Kiessig Corner,"533-441-05533-441-06",1401-1419,Second Avenue,San Diego,92101,Centre City,Cortez,7/9/76,,,,1894,,,,
111,,U.S. Custom and Court House,535-052-01,325,West F Street,San Diego,92101,Centre City,Columbia,7/9/76,,NR 1975-01-29,,1913,James Knox Taylor,,,
112,,"Theosophical Institutea.  Spaulding Homeb.  Greek Theatrec.  Beaver Homed.  Lotus Homee.  Madam Tingley Home","532-510-03 532-510-05",3900,Lomaland Drive,San Diego,92106,Peninsula,Wooded Area,8/6/76,,,,1897-1920,,,,
113,,Mission San Diego de Alcala,434-040-44,10818,San Diego Mission Road,San Diego,92108,Mission Valley,,8/6/76,,NR 1970-04-15:  NHL,,,,,,
114,,McConaughy House,443-340-34,2460,Heritage Park Row,San Diego,92103,Old San Diego,Old Town,11/5/76,,,,1887,,,,
115,,Herne Surgical Hospital (Ashforth Building),533-451-07,400-420,Ash Street,San Diego,92101,Centre City,Cortez,12/3/76,,,,1906,,,,
116,,Spruce Street Suspension Bridge,,200 and 300 Blocks,West Spruce Street,San Diego,92103,Uptown,Middletown,1/7/77,,,,1912,,,,
117,117-001,,351-383-48-01,230,Gravilla Street,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-002,,351-383-48-02,234,Gravilla Street,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-003,,351-383-48-03,238,Gravilla Street,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-004,,351-383-48-04,242,Gravilla Street,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-005,,351-383-48-05,246,Gravilla Street,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-006,,351-383-48-06,248,Gravilla Street,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-007,,351-383-03,231,Playa del Sur,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-008,,351-383-47,243,Playa del Sur,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-009,,351-383-05,287,Playa del Sur,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-010,,351-383-38,305,Playa del Sur,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117-011,,351-383-10,309,Playa del Sur,San Diego,92037,La Jolla,La Jolla,2/4/77,"C, D",,Pueblo Revival,1923,"Rudolph Schindler, architect",,,
117,117 001-011,El Pueblo Ribera,Various,"230-248231-309","Gravilla StreetPlaya Del Sur",San Diego,92037,La Jolla,La Jolla,2/4/77,,,,1923,,,,
118,,Charles A. Martin House,452-611-02,3147,Front Street,San Diego,92103,Uptown,Middletown,3/4/77,,,,1912,Richard S. Requa.,,,
119,,George H. Scripps Memorial Marine Biological Laboratory,344-090-07,8602,La Jolla Shores Drive,San Diego,92037,La Jolla,La Jolla,5/6/77,,"NR 1977-11-10NHL 06/82",,1909,Irving Gill,,,
120,,The Tucker House,533-062-08,2470,Union Street,San Diego,92101,Uptown,Middletown,7/8/77,,,,1912,,,,
121,,The Rynearson House/Mansion,534-392-06,2441-2443,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,8/5/77,,HRB# 130-51,,1898,,,,
122,,The Faulk-Klauber House,539-601-21,3000,E Street,San Diego,92102,Greater Golden Hill,South Park,1/6/78,,,,1886,,,,
123,,Residence,533-353-12,1632,Union Street,San Diego,92101,Centre City,Little Italy,2/3/78,,,,1880-88,,,,
124,526-005,Fulford Bungalow No. 1,453-711-16,2516,San Marcos Avenue,San Diego,92104,Greater North Park,North Park,6/2/78,,HRB# 526-005,,1913,Carlton Monroe Winslow,,,
125,526-006,Fulford Bungalow No. 2,453-711-17,2518,San Marcos Avenue,San Diego,92104,Greater North Park,North Park,6/2/78,,HRB# 526-006,,1913,Carlton Monroe Winslow,,,
126,526-008,Fulford Bungalow No. 3,453-711-18,2520,San Marcos Avenue,San Diego,92104,Greater North Park,North Park,6/2/78,,HRB# 526-008,,1913,Carlton Monroe Winslow,,,
127,127 001-096,Gaslamp Quarter Historic District No. 1,,,"Bounded by Fourth Avenue, Sixth Avenue, Broadway and the Santa Fe Rail Road Tracks",San Diego,92101,Centre City,Gaslamp,6/2/78,,NR 1980-05-23,,,,,,
127,127-001,Pioneer Wharehouse,533-342-12,301,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-002,Whitney Building,535-342-11,345,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #48,,C.1920,,,,
127,127-003,Quin Building,535-081-14,502,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-004,Sewing Factory,535-081-14,520,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #47,Spanish/Mediterranean,1930,,,,
127,127-005,Floral Exchange Building,535-082-06,521,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #46,,,,,,
127,127-006,Chinese Laundry,535-082-05,527,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #45,,C. 1923,,,,
127,127-007,Cotheret Building,535-081-07,536,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #76,,C. 1900,,,,
127,127-008,Tai Sing Building,535-082-04,539,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,Post-Victorian,1923,,,,
127,127-009,Pacifica Hotel,535-082-03,547,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #43,Post-Victorian,C. 1911,,,,
127,127-010,Royal Pie Bakery,"535-081-15 535-081-16",554,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #30,,1911,,,,
127,127-011,Carriage Works,"535-095-08 & 535-095-03",655,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #39,Victorian,,,,,
127,127-012,Labor Temple Building,535-092-02,743,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,Victorian,1907,,,,
127,127-013,Ingle Building,533-576-05,801,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #35,Victorian,1907,Joseph Falkenham and John Stannard,,,
127,127-014,The Exchange Club Building,533-576-04,815,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #34,,1905,,,,
127,127-015,Panama Café,533-576-03,827,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,Victorian,1905,unknown,,,
127,127-016,Windsor Hotel,533-576-02,843,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,Victorian Italianate,1886,,,,
127,127-017,Lawyer's Block Building,533-573-10,901,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #32,Italian Renaissance,1889,McDougall & Sons,,,
127,127-018,Schmitt Building,533-573-02,949-951,4th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,Victorian,1880,,,,
